headline,url,stock
"Update: Tigress Financial Raises Price Target on Microsoft to $595 From $550, Maintains Buy Rating",,MSFT
"Backed by Nvidia, CoreWeave's Skyrocketing AI Business Moves Toward IPO",,MSFT
Microsoft (MSFT) & NVIDIA Bring AI Neural Shading to Gaming,,MSFT
Trump Trade: Reciprocal tariffs still to start on April 2,,MSFT
"Microsoft initiated, Rivian downgraded: Wall Street's top analyst calls",,MSFT
Microsoft Stock Has Been Getting Pounded. Why One Analyst Calls It a ‘Table-Pounder’ Pick to Buy Now.,,MSFT
Get Your Game On! The Global Candy Crush All Stars Tournament Returns with $1M Prize Pool Up for Grabs,,MSFT
Microsoft to Launch First Malaysia Cloud Region with $2.2B Investment,,MSFT
Microsoft to launch first cloud region in Malaysia by Q2 2025,,MSFT
Microsoft Malaysia to launch three data centres in Q2 2025,,MSFT
"NVIDIA And Elon Musk's xAI Join BlackRock, Microsoft Led AI Infrastructure Partnership",,MSFT
Is Microsoft Corporation (MSFT) a Stock That Members of Congress Own?,,MSFT
6 Top Quantum Computing Stocks to Buy in 2025,,MSFT
Meet This Under-the-Radar AI IPO Stock Growing Its Revenue 737%,,MSFT
Is Microsoft (MSFT) the Top Stock to Buy According to Marshall Wace LLP?,,MSFT
Nvidia's GTC fallout reminds 'Magnificent 7' investors of an important lesson,,MSFT
Performance Overview,,MSFT
,,MSFT
 News,https://finance.yahoo.comhttps://www.yahoo.com/,AMZN
 Life,https://finance.yahoo.comhttps://www.yahoo.com/lifestyle/,AMZN
 Entertainment,https://finance.yahoo.comhttps://www.yahoo.com/entertainment/,AMZN
  Finance,https://finance.yahoo.comhttps://finance.yahoo.com/,AMZN
 Sports,https://finance.yahoo.comhttps://sports.yahoo.com/,AMZN
New on Yahoo,,AMZN
Apple is reportedly losing $1 billion a year on its streaming service as churn levels increase,,AMZN
"AI stocks are in a bear market, strategist says: How to play the space",,AMZN
AWS generative AI exec leaves to launch startup,,AMZN
Amazon Stock Wavers Near Key Level As Wall Street Sizes Up Tech Giant's Used-Car Plans,,AMZN
"Is Amazon.com, Inc. (AMZN) the Top Stock to Buy According to Marshall Wace LLP?",,AMZN
"Amazon eyes sales of used cars, Automotive News reports",,AMZN
"Amazon to sell carbon credits to suppliers, customers",,AMZN
"Amazon, Flipkart found to have violated Indian quality control rules during warehouse raids",,AMZN
E-Commerce Today - Steve Madden Boosts Global Sales With eCommerce Overhaul,,AMZN
Amazon Fresh shutters two stores,,AMZN
Should You Forget Nvidia and Buy These 2 Tech Stocks Instead?,,AMZN
Billionaire Stanley Druckenmiller Sold Nvidia and Bought These 2 E-Commerce Stocks Instead,,AMZN
3 Nasdaq Stocks Down 20% or More That You'll Regret Not Buying on the Dip,,AMZN
"Is Amazon.com, Inc. (AMZN) a Stock That Members of Congress Own?",,AMZN
Amazon sues Consumer Product Safety Commission over recall order for hazardous products,,AMZN
Walmart rolls forward with brokerage: What it means for Amazon,,AMZN
Jeff Bezos and Tony Robbins Are Invested in a Surprising Industry — What That Means For Your Wallet,,AMZN
Amazon loses court fight against record $812 million Luxembourg privacy fine,,AMZN
Analyst Says Amazon.com (AMZN) Has the ‘Cheapest’ Multiple and Two Key Catalysts,,AMZN
Q4 2024 Aterian Inc Earnings Call,,AMZN
Performance Overview,,AMZN
,,AMZN
